"date","precip_in","snowfall_in","temp_min_degF","temp_max_degF","windspeed_avg_mph"
2015-02-20,0,0,2.12,19.22,10.289924
2015-02-21,0.61023655,2.9921276,13.1,32,4.47388
2015-02-22,0.09842525,0.9842525,32,42.98,2.908022
2015-02-23,0,0,8.24,37.94,11.1847
2015-02-24,0,0,4.1,24.26,5.816044
2015-02-25,0,0,20.12,37.04,6.487126
2015-02-26,0,0,21.2,32,7.158208
2015-02-27,0,0,18.14,30.2,6.039738
2015-02-28,0,0,13.1,29.12,3.579104
2015-03-01,0.51968532,4.8031522,24.26,31.1,2.23694
2015-03-02,0,0,27.14,39.02,8.052984
2015-03-03,0.6692917,1.8110246,22.1,37.04,4.921268
2015-03-04,0.25196864,0,35.06,44.96,6.039738
2015-03-05,0.75984293,7.5196891,19.22,39.92,5.816044
2015-03-06,0,0,12.2,27.14,6.263432
2015-03-07,0,0,18.14,37.94,5.144962
2015-03-08,0,0,37.04,48.92,5.144962
2015-03-09,0.01181103,0,39.92,53.96,4.697574
2015-03-10,0.46063017,0,39.02,53.06,3.579104
2015-03-11,0.01181103,0,44.06,59,6.934514
2015-03-12,0,0,35.96,46.94,8.276678
2015-03-13,0,0,31.1,42.98,6.487126
2015-03-14,0.81102406,0,39.92,51.08,5.59235
2015-03-15,0,0,35.96,44.06,11.408394
2015-03-16,0,0,35.06,51.98,3.802798
2015-03-17,0.01968505,0,33.98,57.02,9.618842
2015-03-18,0,0,29.12,39.02,9.618842
2015-03-19,0,0,29.12,42.98,5.816044
2015-03-20,0.40157502,4.4881914,29.12,37.94,7.82929
2015-03-21,0,0,29.12,46.94,5.368656
2015-03-22,0,0,28.22,42.98,7.605596
2015-03-23,0,0,23.18,37.94,6.71082
2015-03-24,0,0,26.24,44.96,4.026492
2015-03-25,0.05118113,0,33.98,48.92,4.47388
2015-03-26,0.31889781,0,42.08,62.06,2.908022
2015-03-27,0.27165369,0,39.02,46.04,4.250186
2015-03-28,0,0,26.24,39.92,7.605596
2015-03-29,0,0,25.16,46.04,6.263432
2015-03-30,0,0,35.96,53.96,7.82929
2015-03-31,0.16929143,0,35.06,46.94,5.368656
2015-04-01,0,0,32,51.08,5.144962
2015-04-02,0,0,41,66.92,6.263432
2015-04-03,0.0393701,0,59,64.04,6.71082
2015-04-04,0.01181103,0,42.08,60.08,10.06623
2015-04-05,0,0,42.08,60.98,4.921268
2015-04-06,0,0,42.08,62.96,4.250186
2015-04-07,0.14960638,0,42.08,62.06,6.934514
2015-04-08,0,0,37.04,44.96,11.408394
2015-04-09,0,0,37.04,42.98,8.94776
2015-04-10,0.16929143,0,39.02,55.94,4.697574
2015-04-11,0,0,44.06,57.02,8.724066
2015-04-12,0,0,42.98,66.02,3.35541
2015-04-13,0,0,50,68,4.697574
2015-04-14,0.01181103,0,55.04,64.94,3.802798
2015-04-15,0,0,51.08,71.96,6.263432
2015-04-16,0,0,51.98,64.04,6.487126
2015-04-17,0.0787402,0,55.04,71.06,5.144962
2015-04-18,0,0,59,80.06,4.250186
2015-04-19,0,0,48.02,64.04,8.500372
2015-04-20,1.37007948,0,46.04,57.02,7.381902
2015-04-21,0.20078751,0,51.98,64.94,6.039738
2015-04-22,0.05118113,0,48.02,69.08,6.487126
